"X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
128,"South Central PA R-Ladies","Middletown","USA","US/Canada",8,"https://www.meetup.com/South-Central-PA-R-Ladies/","2019-08-24",0,0,"public","1970-01-01"
198,"Littleton/Golden/Lakewood Data Science","Littleton","USA","US/Canada",41,"https://www.meetup.com/Littleton-Golden-Lakewood-Data-Science/","2019-08-07",5,0,"public","2019-11-16"
199,"ODSC Lisbon Data Science","Lisbon","Portugal","Europe",177,"https://www.meetup.com/Lisbon-Data-Science-ODSC/","2019-07-24",2,0,"public","2019-11-19"
202,"Oxford Social Data Science","Oxford","United Kingdom","Europe",45,"https://www.meetup.com/Social-Data-Science-Community/","2019-09-12",0,0,"public","1970-01-01"
212,"Kolkata Data Science Meetup Group","Kolkata","India","Asia",403,"https://www.meetup.com/Kolkata-Data-Science-Meetup-Group/","2019-08-06",3,1,"public","2019-10-20"
274,"Utrecht Big data-analyse Meetup-groep","Utrecht","Netherlands","Europe",57,"https://www.meetup.com/Utrecht-Big-data-analyse-Meetup-groep/","2019-07-10",0,0,"public","1970-01-01"
291,"Data Science Applications in Supply Chain Management","Paris","France","Europe",134,"https://www.meetup.com/Data-Science-applications-in-Supply-Chain-Management/","2019-08-27",1,0,"public","2019-10-15"
306,"Data Science y Machine Learning","Valencia","Spain","Europe",154,"https://www.meetup.com/Data-Science-y-Machine-Learning/","2019-07-09",2,0,"public","2019-12-02"
308,"Amman Data Geeks","´Amman","Jordan","Asia",58,"https://www.meetup.com/AmmanDataGeeks/","2019-07-17",0,0,"public","1970-01-01"
359,"Budapest Data & Pizza","Budapest","Hungary","Europe",128,"https://www.meetup.com/Budapest-Data-Pizza/","2019-09-02",1,0,"public","2019-11-07"
382,"South Florida Business Intelligence Meetup Group","Miami","USA","US/Canada",31,"https://www.meetup.com/South-Florida-Business-Intelligence-Meetup-Group/","2019-07-23",0,0,"public","1970-01-01"
392,"EswatiniUseR Group","Manzini","Swaziland","Africa",21,"https://www.meetup.com/EswatiniUseR/","2019-08-11",1,0,"public","2019-11-08"
440,"R-Ladies L'viv","L'viv","Ukraine","Europe",22,"https://www.meetup.com/rladies-lviv/","2019-08-31",4,0,"public","2019-10-18"
485,"R-Ladies Riverside","Riverside","USA","US/Canada",84,"https://www.meetup.com/rladies-riverside/","2019-08-02",2,0,"public","2019-11-21"
511,"Manassas Machine Learning 101 and Beyond","Manassas","USA","US/Canada",80,"https://www.meetup.com/Manassas-Machine-Learning-101-and-Beyond-Meetup-Group/","2019-08-03",1,0,"public","2019-10-05"
523,"R-Ladies Kansas City","Kansas City","USA","US/Canada",43,"https://www.meetup.com/rladies-kansas-city/","2019-07-19",3,0,"public","2019-11-23"
540,"ODSC Hyderabad Data Science","Hyderabad","India","Asia",489,"https://www.meetup.com/ODSC-Hyderabad-Data-Science/","2019-08-19",2,1,"public","2019-12-01"
